ows_LinkTitle,ows_Zona,ows_posy,ows_posx,ows_Municipio
Aguere,Metropolitana,28.48967677234651,-16.318953036825405,San CristÃ³bal de la Laguna
Los Partidos,Isla Baja,28.316205483166588,-16.792201339267194,Tanque (El)
Tenerife Playa,Norte,28.418598270651607,-16.542963981628418,Puerto de la Cruz (El)
Tigaiga,Norte,28.41094543995787,-16.549572944641113,Puerto de la Cruz (El)
Mortero,Norte,28.3485821,-16.702249199999983,Icod de los Vinos
Valle Mar,Norte,28.417862264116397,-16.544294357299804,Puerto de la Cruz (El)
Catalonia Las Vegas,Norte,28.417214322312947,-16.544807553073042,Puerto de la Cruz (El)
Monopol,Norte,28.417357436163172,-16.548526883125305,Puerto de la Cruz (El)
Maga,Norte,28.415654213815642,-16.54967486858368,Puerto de la Cruz (El)
Quinta Roja (La),Isla Baja,28.373380699280666,-16.763179376721382,Garachico
Casa Ida,Isla Baja,28.365720177943853,-16.744805574417114,Garachico
"Uchan, Casa",Norte,28.3485821,-16.702249199999983,Icod de los Vinos
Marquesa/Condesa,Norte,28.417285092971444,-16.548574268708762,Puerto de la Cruz (El)
Picacho (El),Metropolitana,28.521968,-16.365566400000034,San CristÃ³bal de la Laguna
Casablanca,Norte,28.380942144807246,-16.619439125061035,Realejos (Los)
Diverhotel Tenerife & Spa,Norte,28.40549092719323,-16.539605855941772,Puerto de la Cruz (El)
Patio de Tita (El),Norte,28.389248405358863,-16.56588077545166,Realejos (Los)
Casa Alta,Norte,28.414097227591924,-16.54233813242172,Puerto de la Cruz (El)
Atajo (El),Sur,28.2358229,-16.795907100000022,GuÃ­a de Isora
Vistita (La),Sur,28.2175226,-16.76578840000002,GuÃ­a de Isora
Marte,Norte,28.415205992855217,-16.552523374557495,Puerto de la Cruz (El)
Piedra Redonda,Norte,28.35943,-16.713857299999972,Icod de los Vinos
Vidal,Sur,28.2194681,-16.760855799999945,GuÃ­a de Isora
"Miradero, (El)",Norte,28.3671432,-16.713757100000066,Icod de los Vinos
Dulces (Las),Sur,28.2099473,-16.779003399999965,GuÃ­a de Isora
BahÃ­a PrÃ­ncipe San Felipe,Norte,28.416577385553875,-16.541470885058516,Puerto de la Cruz (El)
Breveritas (Las),Norte,28.3481407,-16.700514099999964,Icod de los Vinos
Morro Catana,Isla Baja,28.305400710169387,-16.839922657236457,Buenavista del Norte
Acuario,Norte,28.404684050681208,-16.551985144396895,Puerto de la Cruz (El)
Trovador,Norte,28.415597596535836,-16.554754972457885,Puerto de la Cruz (El)
Casa Pachele,Norte,28.3781571,-16.657938400000034,Guancha (La)
"Geranios, Los",Norte,28.417362154192567,-16.552244424819946,Puerto de la Cruz (El)
Tanquera (La),Norte,28.358644169875408,-16.569571495056152,Realejos (Los)
Gigantes (Los),Sur,28.2440529,-16.84141539999996,Santiago del Teide
Don Manolito,Norte,28.4156563,-16.55551939999998,Puerto de la Cruz (El)
Milema,Metropolitana,28.4642791,-16.26973620000001,Santa Cruz de Tenerife
Miramar,Norte,28.41180416983678,-16.547019481658935,Puerto de la Cruz (El)
Rosa Mari,Norte,28.41678655305467,-16.552743315696716,Puerto de la Cruz (El)
Sol Parque San Antonio,Norte,28.40778412162215,-16.548714637756347,Puerto de la Cruz (El)
Patio II (El),Norte,28.376543338787936,-16.740546226501465,Icod de los Vinos
Be Live Orotava,Norte,28.41628643805035,-16.54337167739868,Puerto de la Cruz (El)
Tropical,Norte,28.416333618812043,-16.551493406295776,Puerto de la Cruz (El)
Tope (El),Norte,28.414441653788984,-16.543757915496826,Puerto de la Cruz (El)
Pino (Los),Norte,28.3614038,-16.69861209999999,Icod de los Vinos
Elegance Trianflor,Norte,28.414320554198877,-16.551995873232954,Puerto de la Cruz (El)
San BorondÃ³n,Norte,28.41495121377943,-16.55562400817871,Puerto de la Cruz (El)
Rambla de Los Caballos (La),Norte,28.394722630389637,-16.620512008666992,Realejos (Los)
Concordia Playa,Norte,28.417525712223007,-16.54259562448715,Puerto de la Cruz (El)
Don CÃ¡ndido,Norte,28.410869946888343,-16.545603275299072,Puerto de la Cruz (El)
Beatriz Atlantis,Norte,28.417266220694888,-16.5423506496154,Puerto de la Cruz (El)
Blue sea interpalace,Norte,28.4156353413924,-16.535786390304565,Puerto de la Cruz (El)
