Nombre,pos x,pos y,Municipio,Dificultad acceso
Cueva del viento,"-16,70396660","28,35167510",Icod de los Vinos,Baja
Bosque de Agua Garcia,"-16,39924049","28,45435447",Tacoronte,Baja
Cruz de Hilda,"-16,84573174","28,31303297",Buenavista del Norte,Baja
Acantidalos Martianez,"-16,53605747","28,41669219",Puerto de la Cruz,Baja
Camino Los Laureles,"-16,33356862","28,52127845",Tegueste,Baja
Casa de los Zamorano,"-16,33492045","28,52146699",Tegueste,Baja
El Caletón,"-16,76475585","28,37395447",Garachico,Baja
Muelle Viejo,"-16,76819578","28,37229480",Garachico,Baja
Teide,-16.642291,28.272566,La Orotava,Media
La montaña de Tejina,-16.754473,28.191596,Guía de Isora,Alta
Roque del Garachico,-16.762542,28.379783,Garachico,Media
La montaña de Los Frailes,-16.561586,28.391376,Los Realejos,Alta
