Nombre,pos x,pos y,Municipio,Dificultad acceso
Cueva del viento,"-16,70396660","28,35167510",Icod de los Vinos,Baja
Bosque de Agua Garcia,"-16,39924049","28,45435447",Tacoronte,Baja
Cruz de Hilda,"-16,84573174","28,31303297",Buenavista del Norte,Baja
Acantidalos Martianez,"-16,53605747","28,41669219",Puerto de la Cruz,Baja
Camino Los Laureles,"-16,33356862","28,52127845",Tegueste,Baja
Casa de los Zamorano,"-16,33492045","28,52146699",Tegueste,Baja
El Caletón,"-16,76475585","28,37395447",Garachico,Baja
Muelle Viejo,"-16,76819578","28,37229480",Garachico,Baja
La montaña centinela,"-16,457084","28,154581",Abades,Media
Los derriscaderos,-16.524795,"28,106876",,Media
Las Montañas de ifara ,-16.529972,28.090923,,Alta
Montaña pelada,-16.518319,28.064923,Granadilla,Baja
Montaña Colorada,-16.605277,28.143528,,Media
Roque de Jama,-16.720469,28.055269,,Media
Montaña amarilla,-16.636771,28.011052,,Baja
Montaña de Guaza,-16.692513,28.049654,Arona,Baja
La caldera del rey,-16.716625,28.076069,,Media
Teide,-16.642291,28.272566,,Media
La montaña de Tejina,-16.754473,28.191596,Guía de Isora,Alta
Roque del Garachico,-16.762542,28.379783,Garachico,Media
La montaña de Los Frailes,-16.561586,28.391376,Los Realejos,Alta
