Nombre,Tipo,Ubicación,pos x,pos y,Nivel de Ocupación,Dificultad de acceso,Puntuación Global,Geoname
Bajamar,Piscina,La Laguna,-16.344606,28.556429,Alto,1 / 5,⭐⭐⭐⭐⭐,http://www.webtenerife.com/que-visitar/piscinas-naturales/bajamar.htm
Charco de Isla Cangrejo,Charco,Santiago del Teide,-16.842554,28.241648,Bajo,4 / 5,⭐,http://www.webtenerife.com/que-visitar/piscinas-naturales/charco-isla-cangrejo.htm
Charco del viento,Charco,La Guancha,-16.673878,28.401261,Medio,4 / 5,⭐⭐,http://www.webtenerife.com/que-visitar/piscinas-naturales/charco-del-viento.htm
Charco de la araña,Charco,Los Silos,-16.816355,28.382183,Medio,4 / 5,⭐⭐,http://www.webtenerife.com/que-visitar/piscinas-naturales/charco-arana.htm
Charco Verde,Charco,La Guancha,-16.659429,28.400933,Medio,3 / 5,⭐⭐⭐,https://www.youtube.com/watch?v=wwrxq1GPxFM
Charco Don Gabino,Charco,Los Silos,-16.814908,28.379631,Bajo,2 / 5,⭐⭐,http://www.webtenerife.com/que-visitar/piscinas-naturales/charco-don-gabino.htm
Charco El Inglés,Charco,Los Silos,-16.800.828,28.380264,Medio,3 / 5,⭐⭐⭐,http://www.webtenerife.com/que-visitar/piscinas-naturales/charco-ingles.htm
Charco de la Laja,Charco,San Juan de la Rambla,-16.651773,28.396067,Medio,2 / 5,⭐⭐⭐⭐,http://www.webtenerife.com/que-visitar/piscinas-naturales/charco+de+la+laja.htm
Charco los Chochos,Charco,San Juan de la Rambla,-16.814820,28.381319,Medio,2 / 5,⭐⭐⭐⭐,http://www.webtenerife.com/que-visitar/piscinas-naturales/charco-chochos.htm
Charco Juaniquín,Charco,Los Silos,-16.812921,28.378604,Bajo,3 / 5,⭐⭐,http://www.webtenerife.com/que-visitar/piscinas-naturales/charco-juaniquin.htm
El Caletón,Piscina Natural,Garachico,-16.765613,28.373333,Alto,1 / 5,⭐⭐⭐⭐⭐,http://www.webtenerife.com/que-visitar/piscinas-naturales/el+caleton.htm
Charco Roque,Charco,Buenavista del Norte,-16.875349,28.370608,Medio,4 / 5,⭐⭐,http://www.webtenerife.com/que-visitar/piscinas-naturales/charco-roque.htm
Cueva el tacón,Cueva,Puerto Santiago,-16.844660,28.236361,Medio,4 / 5,⭐⭐,https://youtu.be/c5ndi0HeOO4
Charco del cumplido,Charco,Santa Cruz de Tenerife,-16.794454,28.375681,Alto,2 / 5,⭐⭐⭐⭐,http://www.webtenerife.com/que-visitar/piscinas-naturales/charco-cumplido.htm
Piscina Natural El Pris,Piscina Natural,"El Pris, Santa Cruz de Tenerife",-16.421595,28.509668,Alto,1 / 5,⭐⭐⭐⭐⭐,http://www.webtenerife.com/que-visitar/piscinas-naturales/piscina-natural-pris.htm
Charco de Jover,Charco,San Cristóbal de La Laguna,-16.370501,28.547257,Medio,2 / 5,⭐⭐⭐⭐,http://www.webtenerife.com/que-visitar/piscinas-naturales/piscina-natural-jover.htm
Mesa del Mar ,Piscina Natural,Mesa del Mar ,-16.423716,28.504083,Alto,1 / 5,⭐⭐⭐⭐⭐,https://es.wikipedia.org/wiki/Mesa_del_Mar
Punta del Hidalgo,Piscina Natural,San Cristóbal de La Laguna,-16.331392,28.572672,Alto,1 / 5,⭐⭐⭐⭐⭐,http://www.webtenerife.com/que-visitar/piscinas-naturales/punta+del+hidalgo.htm
La Mareta,Charco,Icod de los Vinos,-16.694421,28.394731,Bajo,3 / 5,⭐⭐⭐,http://adondevamoshoytenerife.com/wp-content/uploads/2014/08/10606043_268898739973626_5851923425631863629_n.jpg
El Rayo,Charco,Buenavista del Norte,-16.832689,28.392691,Bajo,4 / 5,⭐⭐,http://adondevamoshoytenerife.com/sibora-el-rayo-los-silos-buenavista-del-norte/
La Jaquita,Piscina Natural,Alcalá - Guía de Isora,-16.828449,28.200366,Alto,1 / 5,⭐⭐⭐⭐⭐,https://www.youtube.com/watch?v=RRkb7QFx2UY
La Arena,Charco,La Guancha,-16.651773,28.396067,Medio,2 / 5,⭐⭐⭐,https://www.tripadvisor.es/LocationPhotoDirectLink-g1078430-d10003039-i194942444-Piscina_natural_Punta_del_Hidalgo-Punta_del_Hidalgo_Tenerife_Canary_Is.html
